CET,Latitude,Longtitude,Course,Direction,KTS,hm/h,feet
Wed 12:33:44,50.0694,19.7265,265°,West,157,291,2600
Wed 12:34:01,50.0726,19.7069,301°,West,155,286,3300
Wed 12:34:19,50.0823,19.6952,346°,North,155,286,4000
Wed 12:34:35,50.0913,19.6964,24°,Northeast,171,317,4300
Wed 12:34:57,50.1102,19.7137,30°,Northeast,210,389,4700
Wed 12:35:12,50.1234,19.7249,28°,Northeast,218,404,5200
Wed 12:35:27,50.137,19.7361,27°,Northeast,221,409,5800
Wed 12:35:42,50.1508,19.7474,27°,Northeast,228,422,6500
Wed 12:35:57,50.165,19.759,27°,Northeast,233,431,7000
Wed 12:36:12,50.1793,19.7706,27°,Northeast,235,435,7700
Wed 12:36:28,50.1949,19.7834,27°,Northeast,238,441,8300
Wed 12:36:43,50.208,19.794,27°,Northeast,247,457,8800
Wed 12:37:01,50.2275,19.8099,28°,Northeast,258,478,9400
Wed 12:37:22,50.2491,19.8275,28°,Northeast,286,529,9600
Wed 12:37:37,50.2701,19.8446,28°,Northeast,306,566,9700
Wed 12:38:38,50.3519,19.9117,27°,Northeast,332,615,11500
Wed 12:39:09,50.3933,19.9457,27°,Northeast,336,623,12400
Wed 12:40:10,50.4786,20.0159,28°,Northeast,351,650,14300
Wed 12:41:10,50.5674,20.0894,27°,Northeast,365,676,15800
Wed 12:42:10,50.6563,20.1633,28°,Northeast,361,668,17800
Wed 12:42:41,50.7008,20.2005,27°,Northeast,365,676,18300
Wed 12:43:11,50.7487,20.2404,27°,Northeast,382,708,19000
Wed 12:43:43,50.799,20.2824,27°,Northeast,386,715,20000
Wed 12:44:13,50.8478,20.3235,28°,Northeast,389,721,21000
Wed 12:44:43,50.8957,20.3637,28°,Northeast,397,735,21700
Wed 12:45:13,50.9432,20.4037,28°,Northeast,406,752,22300
Wed 12:45:44,50.9946,20.447,28°,Northeast,413,764,23000
Wed 12:46:44,51.0992,20.5358,28°,Northeast,424,785,24400
Wed 12:47:45,51.2045,20.6258,28°,Northeast,425,787,24600
Wed 12:48:53,51.3196,20.7167,23°,Northeast,402,745,21700
Wed 12:49:31,51.3789,20.7597,23°,Northeast,390,723,20400
Wed 12:49:53,51.4239,20.7744,3°,North,377,698,19400
Wed 12:50:35,51.4937,20.7615,352°,North,362,671,18100
Wed 12:51:12,51.554,20.7465,352°,North,355,658,16900
Wed 12:51:42,51.5996,20.7353,352°,North,351,650,15900
Wed 12:52:12,51.652,20.7222,352°,North,347,642,14900
Wed 12:52:46,51.7024,20.7098,351°,North,340,629,13900
Wed 12:53:18,51.7504,20.6978,352°,North,330,612,12900
Wed 12:54:32,51.8642,20.6694,352°,North,325,602,10600
Wed 12:55:12,51.9229,20.6547,352°,North,324,600,10000
Wed 12:55:27,51.9464,20.6488,352°,North,322,597,9500
Wed 12:55:42,51.9676,20.6435,352°,North,316,586,9100
Wed 12:56:02,51.9958,20.6364,351°,North,312,578,8400
Wed 12:56:25,52.0274,20.6283,351°,North,308,570,7700
Wed 12:56:40,52.0487,20.623,352°,North,308,570,7200
Wed 12:56:55,52.0686,20.6179,352°,North,304,563,6700
Wed 12:57:10,52.0894,20.6127,352°,North,299,554,6300
Wed 12:57:25,52.1116,20.6071,352°,North,286,529,6000
Wed 12:57:41,52.1326,20.6018,352°,North,275,509,5800
Wed 12:57:56,52.1503,20.5972,351°,North,265,491,5600
Wed 12:58:11,52.1677,20.5932,356°,North,257,476,5400
Wed 12:58:57,52.2148,20.6159,25°,Northeast,235,435,4800
Wed 12:59:13,52.2315,20.6334,46°,Northeast,223,414,4700
Wed 12:59:32,52.2405,20.6574,70°,East,213,394,4400
Wed 13:00:11,52.2362,20.7164,114°,Southeast,192,356,3700
Wed 13:00:32,52.2286,20.7431,115°,Southeast,183,340,3300
Wed 13:00:53,52.2244,20.7581,115°,Southeast,180,333,2900
Wed 13:01:13,52.2144,20.7936,114°,Southeast,170,315,2600
Wed 13:01:34,52.2078,20.8169,115°,Southeast,165,306,2300
Wed 13:01:55,52.202,20.8374,114°,Southeast,154,285,2000
Wed 13:02:16,52.1961,20.8586,114°,Southeast,141,261,1700
Wed 13:02:37,52.1906,20.8784,114°,Southeast,133,246,1400
Wed 13:02:55,52.1863,20.8939,114°,Southeast,130,241,1200
Wed 13:03:14,52.1812,20.9122,115°,Southeast,131,243,1000
