CET,Latitude,Longitude,Course,Direction,KTS,km/h,feet
Sun 14:40:06,53.6871,9.9499,346°,North,155,286,3300
Sun 14:40:28,53.7029,9.9467,0°,North,178,330,3800
Sun 14:40:46,53.72,9.949,13°,North,216,401,4100
Sun 14:41:01,53.7336,9.9606,34°,Northeast,234,433,4700
Sun 14:41:17,53.7455,9.9834,61°,Northeast,263,488,5200
Sun 14:41:34,53.7499,10.019,88°,East,286,529,5900
Sun 14:42:03,53.7346,10.0837,115°,Southeast,309,573,7400
Sun 14:42:18,53.7252,10.1163,116°,Southeast,312,578,8300
Sun 14:42:33,53.718,10.1433,109°,East,312,578,9100
Sun 14:43:14,53.6992,10.2475,105°,East,335,621,10800
Sun 14:43:44,53.6874,10.3243,104°,East,368,681,11600
Sun 14:44:17,53.6726,10.4219,103°,East,383,710,13200
Sun 14:44:47,53.6606,10.5075,103°,East,393,727,14500
Sun 14:45:26,53.6388,10.6012,115°,Southeast,396,734,16300
Sun 14:46:30,53.5807,10.8045,115°,Southeast,416,771,19300
Sun 14:47:00,53.5555,10.8913,116°,Southeast,424,785,20400
Sun 14:47:30,53.529,10.9816,116°,Southeast,429,795,21600
Sun 14:48:00,53.5036,11.0674,116°,Southeast,436,808,22600
Sun 14:48:27,53.479,11.1487,120°,Southeast,443,821,23500
Sun 14:49:08,53.4285,11.2682,127°,Southeast,451,835,24800
Sun 14:49:38,53.3909,11.3518,126°,Southeast,457,847,25600
Sun 14:50:08,53.3537,11.4347,126°,Southeast,462,856,26500
Sun 14:50:38,53.3162,11.5177,127°,Southeast,467,864,27200
Sun 14:51:08,53.2779,11.6022,127°,Southeast,474,877,27900
Sun 14:51:39,53.2385,11.6891,127°,Southeast,481,892,28500
Sun 14:52:10,53.2034,11.7662,127°,Southeast,492,911,29100
Sun 14:52:43,53.1487,11.8858,127°,Southeast,498,922,29800
Sun 14:53:13,53.1063,11.9781,127°,Southeast,502,930,30400
Sun 14:53:45,53.0573,12.0844,127°,Southeast,502,930,31200
Sun 14:54:15,53.0165,12.1726,127°,Southeast,504,933,31800
Sun 14:54:46,52.9765,12.2591,127°,Southeast,506,937,32400
Sun 14:55:16,52.9303,12.3582,127°,Southeast,505,935,33200
Sun 14:55:46,52.8853,12.4544,127°,Southeast,503,932,33900
Sun 14:56:16,52.8442,12.5419,127°,Southeast,495,917,34800
Sun 14:56:46,52.802,12.6314,127°,Southeast,486,900,35700
Sun 14:57:16,52.7634,12.7132,127°,Southeast,487,901,36100
Sun 14:57:47,52.7185,12.8075,128°,Southeast,490,908,36500
Sun 14:58:17,52.6754,12.8983,128°,Southeast,493,912,36900
Sun 14:58:47,52.6333,12.9861,128°,Southeast,494,914,37000
Sun 14:59:19,52.5973,13.0611,128°,Southeast,496,919,37000
Sun 14:59:50,52.5465,13.1664,128°,Southeast,496,919,37000
Sun 15:00:26,52.5038,13.2549,128°,Southeast,491,909,37000
Sun 15:00:57,52.4693,13.3259,128°,Southeast,491,909,37000
Sun 15:01:30,52.4025,13.4629,128°,Southeast,488,904,37000
Sun 15:01:53,52.3957,13.4767,308°,West,473,875,37000
Sun 15:03:02,52.3056,13.6603,128°,Southeast,486,900,37000
Sun 15:03:33,52.2421,13.7889,128°,Southeast,484,896,37000
Sun 15:04:03,52.19,13.8939,129°,Southeast,481,892,37000
Sun 15:04:36,52.1595,13.9551,128°,Southeast,480,888,37000
Sun 15:05:09,52.1237,14.0271,128°,Southeast,481,892,37000
Sun 15:05:39,52.0533,14.1688,128°,Southeast,486,900,37000
Sun 15:06:40,51.9767,14.3206,129°,Southeast,487,901,37000
Sun 15:07:42,51.8777,14.5154,129°,Southeast,486,900,37000
Sun 15:08:43,51.8236,14.6219,129°,Southeast,486,900,37000
Sun 15:09:13,51.7483,14.7689,129°,Southeast,487,901,37000
Sun 15:09:43,51.704,14.8547,129°,Southeast,487,901,37000
Sun 15:10:13,51.6617,14.9366,129°,Southeast,487,901,37000
Sun 15:10:43,51.6403,14.9777,129°,Southeast,488,904,37000
Sun 15:11:13,51.6161,15.0244,129°,Southeast,488,904,37000
Sun 15:11:46,51.5617,15.1291,130°,Southeast,489,906,37000
Sun 15:12:16,51.5019,15.2435,130°,Southeast,489,906,37000
Sun 15:12:57,51.4562,15.3303,130°,Southeast,489,906,37000
Sun 15:14:04,51.3288,15.5721,130°,Southeast,486,900,37000
Sun 15:15:05,51.2515,15.7177,130°,Southeast,485,898,37000
Sun 15:16:12,51.1444,15.9179,130°,Southeast,482,893,37000
Sun 15:17:17,51.0686,16.0586,130°,Southeast,480,888,37000
